Nom,Catégorie,INCI,Nom botanique,Partie plante,Ingrédient principal,Origine,Méthode production,URL produit,Qualité,Date scraping,Texte brut
Cèdre Feuille,Huiles essentielles,THUJA OCCIDENTALIS,Thuja Occidentalis,Feuilles,Thujone,"Québec, Canada",Distillation par vapeur,https://arbressence.ca/produit/huile-essentielle-cedre-feuille/,Propre,2026-03-23,"Cèdre Feuille Thuja Occidentalis Parfum vivifiant boisé camphré 100% pure et naturelle Qualité prémium Résumé aromatique : Une note de tête forte, l&#8217;huile essentielle de cèdre feuille est intensément vive et fraîche avec un parfum boisé camphré. Application : Particulièrement recherchée en parfumerie, l’huile de cèdre possède des propriétés antiseptiques et antibactériennes. Elle dégage les voies respiratoires et régénère l’air ambiant. Du côté dermatologique, elle soulage les démangeaisons, traite l’eczéma, désinfecte et aide à la cicatrisation. <div class=""elementor-element elementor-element-6d51fbae elementor-add-to-cart-mo"
Sapin Baumier,Huiles essentielles,ABIES BALSAMEA,Abies Balsamea,Aiguilles,,"Québec, Canada",Distillation par vapeur,https://arbressence.ca/produit/huile-essentielle-sapin-baumier/,Propre,2026-03-23,"Sapin Baumier Abies Balsamea Parfum doux, riche et balsamique 100% pure et naturelle Qualité prémium Résumé aromatique : Avec une note légèrement terpénique, l’huile essentielle de sapin baumier a le parfum doux, riche et balsamique avec l’arôme propre des aiguilles de sapin baumier. Application : Antiseptique, antispasmodique et anti-inflammatoire, l’huile de sapin baumier est principalement utilisée contre les rhumes, l’asthme, la toux, les crampes et douleurs musculaires. L’huile essentielle de sapin baumier est efficace en massage ou en diffusion. <div class=""elementor-element elementor-element-6d51fbae elementor-add-to-cart-mob"
Épinette Noire,Huiles essentielles,,,,,,,https://arbressence.ca/produit/huile-essentielle-epinette-noire/,À valider,2026-03-23,"ÉPINETTE NOIRE Picea Mariana Parfum fraîche avec note balsamique douce 100% pure et naturelle Qualité prémium Résumé aromatique: Une note d’arôme rafraîchissant, rayonnant et pénétrant, l’huile essentielle d’épinette noire a le parfum propre et frais ainsi qu’une odeur balsamique et résineuse, avec des notes boisées. Application : Antitussive et expectorante, l’huile d’épinette noire doit être"
Épinette Blanche,Huiles essentielles,,,,,,,https://arbressence.ca/produit/huile-essentielle-epinette-blanche/,À valider,2026-03-23,"ÉPINETTE BLANCHE Picea Glauca Parfum frais, boisé 100% pure et naturelle Qualité prémium Résumé aromatique : L’arôme de l’huile essentielle de l’épinette blanche est frais, de pin et de bois. Application : Particulièrement recommandé pour soulager des voies respiratoires et d’asthme, sinusites et bronchites. Riche en terpènes anti-inflammatoires et expectorants, l’huile essentielle d’épinette b"
Pin Blanc,Huiles essentielles,,,,,,,https://arbressence.ca/produit/huile-essentielle-pin-blanc/,À valider,2026-03-23,"PIN BLANC Pinus Strobus Parfum frais résineux avec une touche d’agrume 100% pure et naturelle Qualité prémium Résumé aromatique : L’odeur rafraîchissante de l’huile essentielle de pin blanc est résineuse avec une touche d’agrume. Application : Adopté par les Amérindiens comme remède pour guérir les plaies, l’huile essentielle de pin blanc est riche en vitamine C. Elle soulage la toux, sert d’expectorant, de décongestionnant pulmonaire et de désinfectant. Elle sert à assainir et purifier l’air ambiant. <"
Eucalyptus,Huiles essentielles,EUCALYPTUS GLOBULUS,Eucalyptus Globulus,Feuille,Oxide terpénique,Chine,Distillation par vapeur,https://arbressence.ca/produit/huile-essentielle-eucalyptus/,Propre,2026-03-23,"Eucalyptus Eucalyptus Globulus Parfum boisé et camphré 100% pure et naturelle Qualité prémium Résumé aromatique : D’un arôme frais et boisé, avec une note camphrée. Application : L’huile essentielle d’eucalyptus possède des propriétés anti-inflammatoires. Elle soulage l’arthrite, les rhumatismes, l’irritation cutanée et éloigne les moustiques. Son utilisation principale est médicale et constitue un ingrédient actif dans les expectorants et les inhalants. <div class=""elementor-element elementor-element-6d51fbae elementor-add-to-cart-mobile--align-center elementor-add-to-cart--layout-auto e-add-to-cart--show-quantity-yes sc_fly_static"
Menthe Poivrée,Huiles essentielles,,,,,,,https://arbressence.ca/produit/huile-essentielle-menthe-poivree/,À valider,2026-03-23,"MENTHE POIVRÉE Mentha Piperita Parfum piquant, mentholé et camphré 100% pure et naturelle Qualité prémium Résumé aromatique : D’un arôme piquant et excitant, avec des notes de menthe et de camphre. Application : L’huile essentielle de menthe poivrée est connue depuis longtemps par ses tisanes facilitant la digestion et son aptitude à désengorger le foie. Elle contribue aussi à réduire les doule"
Lavande,Huiles essentielles,,,,,,,https://arbressence.ca/produit/huile-essentielle-lavande/,À valider,2026-03-23,"LAVANDE Lavandula Officinalis Parfum doux et floral, avec note herbacée 100% pure et naturelle Qualité prémium Résumé aromatique : D’un parfum doux et floral, avec une note herbacée Application : L’huile essentielle de lavande est reconnue pour ses attribues apaisantes et relaxantes, en créant un équilibre entre corps et esprit. Elle peut soulager les maux de têtes et les douleurs articulaires et musculaires. Reconnue pour son odeur florale, la lavande est utilisée pour rafraîchir les vêtements, les draps et les armoires de garde-robe."
Thé des Bois,Huiles essentielles,,,,,,,https://arbressence.ca/produit/huile-essentielle-the-des-bois/,À valider,2026-03-23,"THÉ DES BOIS Gaulthéria Procumbens Parfum puissant, sucré avec note de menthe 100% pure et naturelle Qualité prémium Résumé aromatique : D’un arôme puissant, sucré avec des tons épicés, rappelant une note de menthe. Application : Utilisée dans l’antiphlogistique, l’huile essentielle de thé des bois est une huile anti-inflammatoire qui procure une sensation de réchauffement. Elle a des propriétés toniques et antiparasites. Quelques gouttes éloigneront les parasites et les vermines."
Arbre à Thé,Huiles essentielles,MELALEUCA ALTERNIFOLIA,Melaleuca Alternifolia,Feuille,D-Limonène,Australie,Distillation par vapeur,https://arbressence.ca/produit/huile-essentielle-arbre-a-the/,Propre,2026-03-23,"Arbre à Thé (Tea Tree) Melaleuca Alternifolia Parfum frais, boisé et camphré 100% pure et naturelle Qualité prémium Résumé aromatique : D’un arôme frais, avec des notes boisées et camphrées, même légèrement médicinales. Application : L’huile essentielle d’arbre à thé soulage le rhume, la fièvre et les congestions. Elle peut être utilisée dans un diffuseur pour être inhalé ou en infusion pour être bu comme tisane. <div class=""elementor-element elementor-element-6d51fbae elementor-add-to-cart-mobile--align-center elementor-add-to-cart--layout-auto e-add-to-cart--show-quantity-yes sc_fly_static elementor-widget elementor-widget-woocomm"
Pamplemousse,Huiles essentielles,,,,,,,https://arbressence.ca/produit/huile-essentielle-pamplemousse/,À valider,2026-03-23,"PAMPLEMOUSSE Citrus Paradisi Parfum acidulé et fruité, avec note amère 100% pure et naturelle Qualité prémium Résumé aromatique : Parfum acidulé et fruité, avec note amère rappelant les agrumes. Application : L’huile essentielle de pamplemousse est utilisée dans l’alimentation, mais aussi dans de produits de nettoyage et dans l’aromathérapie. Elle est également ajoutée aux crèmes pour les peaux"
Orange,Huiles essentielles,CITRUS SINENSIS,Citrus Sinensis,Zeste,D-Limonène,États-Unis,Pression à froid,https://arbressence.ca/produit/huile-essentielle-orange/,Propre,2026-03-23,"Orange Citrus Sinensis Parfum intense, sucré, avec note d’agrumes 100% pure et naturelle Qualité prémium Résumé aromatique : Arôme intense et sucré, avec note d’agrumes prononcée. Application : L’huile essentielle d’orange possède des propriétés sédatives, antiseptiques et antispasmodiques. Elle facilite la digestion. Son arôme est souvent utilisé dans la conception de vaporisateurs d’ambiance et des formulations pour les spas. <div class=""elementor-element elementor-element-6d51fbae elementor-add-to-cart-mobile--align-center elementor-add-to-cart--layout-auto e-add-to-cart--show-quantity-yes sc_fly_static elementor-widget elementor"
Lime,Huiles essentielles,,,,,,,https://arbressence.ca/produit/huile-essentielle-lime/,À valider,2026-03-23,"LIME Citrus Aurantiifolia Parfum frais fruité avec note amère 100% pure et naturelle Qualité prémium Résumé aromatique : Parfum frais fruité avec note amère rappelant les agrumes. Application : L’huile essentielle de lime est utilisée dans la parfumerie, dans l’alimentation, mais aussi dans de produits de nettoyage et dans l’aromathérapie. Elle est également appliquée pour les peaux avec impur"
Citron,Huiles essentielles,,,,,,,https://arbressence.ca/produit/huile-essentielle-citron/,À valider,2026-03-23,"CITRON Citrus Limonum Parfum frais citronné 100% pure et naturelle Qualité prémium Résumé aromatique : Arôme frais citronné, avec note d’agrumes prononcée. Application : L’huile essentielle de citron est un antiseptique et un antibactérien. On l’utilise pour les états grippaux, les rhumes, les maladies infectieuses pulmonaires, bronchiques, et intestinales. On r"